0,1,2,3
2022-12-21,OffersActivity,4,10
2022-12-21,AdjoeActivity,3,4
2022-12-21,RewardHistoryActivity,3,3
2022-12-21,TJAdUnitActivity,3,4
2022-12-21,AboutActivity,2,2
2022-12-21,PollfishOverlayActivity,1,2
2022-12-21,SurveyHistoryActivity,1,1
2022-12-21,SurveyHistoryAdvActivity,1,1
2022-12-22,(not set),282499,0
2022-12-22,SplashScreenActivity,222393,372291
2022-12-22,HomeActivity,213778,858941
2022-12-22,WheelFortuneActivity,162666,227951
2022-12-22,LockScreenBackgroundActivity,124473,1513799
2022-12-22,RewardDetailActivity,40090,66364
2022-12-22,SurveyAdvancedDetailActivity,40031,93438
2022-12-22,InboxActivity,36402,138248
2022-12-22,SurveyDetailActivity,35203,41939
2022-12-22,MainLauncherActivity,23548,55549
2022-12-22,MasukActivity,18014,50723
2022-12-22,AdsActivity,17378,30992
2022-12-22,InboxDetailActivity,16999,79631
2022-12-22,RegisterActivity,15559,34717
2022-12-22,CerpenActivity,14574,23891
2022-12-22,ProfileActivity,12996,31437
2022-12-22,DetailArtikelListWebActivity,10967,21016
2022-12-22,WebActivity,8866,13169
2022-12-22,VerifikasiActivity,8690,10271
2022-12-22,ActivateLockscreenActivity,7947,8128
2022-12-22,InterestsActivity,7923,8647
2022-12-22,SignInHubActivity,6385,14604
2022-12-22,InviteFriendActivity,6213,7570
2022-12-22,LupaPasswordActivity,5482,8158
2022-12-22,SettingLockscreenActivity,4404,5912
2022-12-22,CerpenChapterActivity,4382,10363
2022-12-22,FacebookActivity,4328,7138
2022-12-22,VerifyOtpLupaPasswordActivity,3700,5134
2022-12-22,ListArtikelActivity,2906,4101
2022-12-22,DetailCerpenActivity,2741,4781
2022-12-22,LockScreenActivity,2525,54109
2022-12-22,BrowserActivity,2369,3382
2022-12-22,HistoryActivity,1499,1886
2022-12-22,PageNotifActivity,1451,1617
2022-12-22,ForceUpdateActivity,1236,3680
2022-12-22,EditProfileActivity,1067,3164
2022-12-22,VideoActivity,876,1866
2022-12-22,OptOutActivity,707,830
2022-12-22,InterestProfileActivity,683,795
2022-12-22,UnlockActivity,665,12472
2022-12-22,UpdatePasswordActivity,508,596
2022-12-22,OAuthActivity,434,544
2022-12-22,ImagePickerActivity,426,860
2022-12-22,UCropActivity,382,705
2022-12-22,PrivacyActivity,352,403
2022-12-22,FaqActivity,271,324
2022-12-22,MenuKoinActivity,214,650
2022-12-22,OnboardActivity,187,201
2022-12-22,KotaActivity,98,138
2022-12-22,MainMenuActivity,82,198
2022-12-22,ProvinceActivity,77,116
2022-12-22,SignUpPersonalDetailsActivity,49,75
2022-12-22,SurveyHistoryAdvDetailActivity,43,73
2022-12-22,SurveyHistoryDetailActivity,28,40
2022-12-22,DemoActivity,26,27
2022-12-22,DetailArtikelListActivity,20,23
2022-12-22,AdActivity,19,34
2022-12-22,CropImageActivity,18,30
2022-12-22,EnterVerificationActivity,17,19
2022-12-22,VerifyOtpActivity,17,26
2022-12-22,SurveyAdvSuksesActivity,16,40
2022-12-22,SignUpInterestsActivity,13,13
2022-12-22,SuccesVerifiyActivity,13,13
2022-12-22,PengaturanActivity,7,10
2022-12-22,RewardHistoryActivity,7,8
2022-12-22,AboutActivity,5,5
2022-12-22,BantuanActivity,4,5
2022-12-22,BidingActivity,3,3
2022-12-22,GoogleApiActivity,3,4
2022-12-22,OptOutSurveyActivity,2,3
2022-12-22,DummyImpl_AdActivity,1,1
2022-12-22,DummyImpl_AddapptrAdActivity,1,2
2022-12-22,GameHistoryActivity,1,1
2022-12-22,OffersActivity,1,8
2022-12-22,TJAdUnitActivity,1,7
2022-12-23,(not set),272718,0
2022-12-23,SplashScreenActivity,216376,359922
2022-12-23,HomeActivity,205671,818715
2022-12-23,WheelFortuneActivity,155835,218886
2022-12-23,LockScreenBackgroundActivity,123301,1535330
2022-12-23,RewardDetailActivity,37911,62119
2022-12-23,SurveyAdvancedDetailActivity,37446,88679
2022-12-23,InboxActivity,33278,123465
2022-12-23,SurveyDetailActivity,33115,39151
2022-12-23,MainLauncherActivity,22443,53722
2022-12-23,AdsActivity,17264,31052
2022-12-23,MasukActivity,17196,48011
2022-12-23,RegisterActivity,15036,33946
2022-12-23,InboxDetailActivity,14742,69782
2022-12-23,CerpenActivity,13400,22271
2022-12-23,ProfileActivity,12281,29439
2022-12-23,DetailArtikelListWebActivity,10273,18762
2022-12-23,WebActivity,8472,12861
2022-12-23,VerifikasiActivity,8469,9973
2022-12-23,ActivateLockscreenActivity,7816,8022
2022-12-23,InterestsActivity,7752,8446
2022-12-23,SignInHubActivity,5965,13648
2022-12-23,LupaPasswordActivity,5188,7677
2022-12-23,FacebookActivity,4192,6969
2022-12-23,SettingLockscreenActivity,4124,5449
2022-12-23,CerpenChapterActivity,4059,9806
2022-12-23,VerifyOtpLupaPasswordActivity,3527,4824
2022-12-23,InviteFriendActivity,3382,4201
2022-12-23,ListArtikelActivity,2947,3983
2022-12-23,DetailCerpenActivity,2602,4766
2022-12-23,LockScreenActivity,2303,49323
2022-12-23,BrowserActivity,2150,3038
2022-12-23,PageNotifActivity,1493,1664
2022-12-23,HistoryActivity,1320,1646
2022-12-23,ForceUpdateActivity,1222,3438
2022-12-23,EditProfileActivity,915,2787
2022-12-23,VideoActivity,909,1839
2022-12-23,OptOutActivity,667,772
2022-12-23,InterestProfileActivity,647,750
2022-12-23,UnlockActivity,619,12090
2022-12-23,UpdatePasswordActivity,513,627
2022-12-23,OAuthActivity,454,653
2022-12-23,ImagePickerActivity,385,771
2022-12-23,UCropActivity,339,624
2022-12-23,PrivacyActivity,327,359
2022-12-23,FaqActivity,260,318
2022-12-23,MenuKoinActivity,196,654
2022-12-23,OnboardActivity,167,190
2022-12-23,ProvinceActivity,84,129
2022-12-23,KotaActivity,68,94
2022-12-23,MainMenuActivity,55,121
2022-12-23,SignUpPersonalDetailsActivity,43,63
2022-12-23,SurveyHistoryAdvDetailActivity,29,36
2022-12-23,SurveyHistoryDetailActivity,29,47
2022-12-23,DemoActivity,23,26
2022-12-23,SurveyAdvSuksesActivity,18,35
2022-12-23,CropImageActivity,15,44
2022-12-23,EnterVerificationActivity,13,14
2022-12-23,SignUpInterestsActivity,13,13
2022-12-23,SuccesVerifiyActivity,13,13
2022-12-23,DetailArtikelListActivity,12,19
2022-12-23,VerifyOtpActivity,12,17
2022-12-23,GoogleApiActivity,7,15
2022-12-23,BrowserAsianActivity,4,4
2022-12-23,RewardHistoryActivity,4,4
2022-12-23,AboutActivity,2,2
2022-12-23,AdjoeActivity,1,6
2022-12-23,BantuanActivity,1,1
2022-12-23,BidingActivity,1,1
2022-12-23,DummyImpl_AdActivity,1,1
2022-12-23,OffersActivity,1,8
2022-12-23,OptOutSurveyActivity,1,1
2022-12-23,PengaturanActivity,1,1
2022-12-23,TJAdUnitActivity,1,1
